word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,relation
spicy,saucy,0.655252,26780,24464,2161,2122,Co-Hyponym
muscle,backbone,0.65499,476,422,1001,745,Co-Hyponym
chop,grind,0.653716,98943,84843,17226,15694,Co-Hyponym
ketchup,barbecue,0.652416,18856,16113,23774,17390,Co-Hyponym
pocket,slit,0.652368,4690,3335,5983,5306,Co-Hyponym
funnel,spout,0.651853,2238,1260,741,674,Co-Hyponym
height,diameter,0.649744,1243,1150,12817,12173,Co-Hyponym
flank,skirt,0.887833,4018,2602,1090,759,Co-Hyponym
breakfast,brunch,0.855055,14727,13915,2537,2490,Co-Hyponym
squid,octopus,0.827282,4773,1479,1884,469,Co-Hyponym
espresso,rum,0.655198,6417,4159,19158,12892,Co-Hyponym
lemon,lime,0.781301,268966,186775,80588,54806,Co-Hyponym
port,cider,0.708718,3555,2350,14321,9805,Co-Hyponym
pork,beef,0.752458,146549,53902,191114,106065,Co-Hyponym
neck,cavity,0.726041,4415,2991,8407,5958,Co-Hyponym
pry,lift,0.689079,492,485,17599,16236,Co-Hyponym
farmhouse,gourmet,0.683534,332,325,1722,1653,Co-Hyponym
caramel,fudge,0.710511,39598,21145,22149,16985,Co-Hyponym
soup,stew,0.706199,248412,152282,29350,20231,Co-Hyponym
chopper,grinder,0.703755,1512,1408,6318,5504,Co-Hyponym
iceberg,avocado,0.664552,719,638,32835,19989,Co-Hyponym
banana,strawberry,0.672065,47660,32142,33688,25070,Co-Hyponym
nutty,rich,0.654781,3633,3523,7659,7315,Co-Hyponym
common,unique,0.677643,466,450,448,444,Co-Hyponym
parallel,horizontal,0.78661,1214,1146,1117,1014,Co-Hyponym
hook,paddle,0.785373,5257,4364,10457,9004,Co-Hyponym
spiral,circular,0.65886,1891,1663,2869,2714,Co-Hyponym
raisin,oatmeal,0.760898,8368,7385,25461,19089,Co-Hyponym
shrimp,crab,0.65923,120378,38939,26918,13510,Co-Hyponym
prune,cranberry,0.656576,1680,1295,25711,18458,Co-Hyponym
fantastic,endless,0.677584,1030,1022,398,396,Co-Hyponym
marrow,shank,0.70676,708,337,999,633,Co-Hyponym
vinegar,juice,0.683817,136939,119032,329049,261200,Co-Hyponym
salmon,trout,0.834791,58542,18829,4306,1668,Co-Hyponym
winter,summer,0.832962,3509,3285,9199,8621,Co-Hyponym
rhubarb,blueberry,0.725147,15525,5866,16490,13284,Co-Hyponym
lettuce,cucumber,0.681584,48542,37699,29855,19767,Co-Hyponym
flap,tuck,0.663766,771,593,5716,5504,Co-Hyponym
goose,quail,0.668621,1474,420,2677,756,Co-Hyponym
calcium,vitamin,0.889598,1608,1475,2349,1241,Co-Hyponym
protein,sodium,0.77712,10322,9072,7533,6923,Co-Hyponym
fruity,festive,0.664501,1762,1675,1506,1492,Co-Hyponym
grapefruit,passion,0.702755,7159,3518,1415,791,Co-Hyponym
champagne,vodka,0.714973,4945,3142,8281,5930,Co-Hyponym
mango,papaya,0.903692,17207,9134,2854,1476,Co-Hyponym
peach,raspberry,0.745289,20202,13720,16284,11320,Co-Hyponym
incredible,everyday,0.674359,434,428,536,525,Co-Hyponym
zip,zipper,0.939898,3038,2774,781,710,Holonym
burner,flame,0.814692,7075,6033,13868,11145,Holonym
tooth,toothpick,0.785659,1320,1263,47507,45665,Holonym
seaweed,sushi,0.777581,2634,1563,3822,1491,Holonym
basket,steamer,0.773669,6754,4734,9728,5988,Holonym
escape,vent,0.767164,4476,4425,2457,2278,Holonym
lobster,claw,0.76638,10961,3598,539,377,Holonym
chimney,charcoal,0.734043,687,476,8626,6419,Holonym
cracker,crumb,0.714925,28744,23843,19530,15425,Holonym
paint,brush,0.710962,2507,1897,108208,87657,Holonym
bundle,leaf,0.700532,2397,1707,39572,29725,Holonym
ignite,match,0.69496,1248,1194,1756,1681,Holonym
foil,tent,0.676096,146565,98859,4567,4357,Holonym
pressure,valve,0.673768,15306,5605,659,458,Holonym
sugar,molasses,0.671482,871454,591762,18019,14369,Holonym
crust,tart,0.671086,146459,87771,29839,12276,Holonym
fist,index,0.651793,522,496,803,722,Holonym
wing,joint,0.777821,3869,2899,1387,1113,Holonym
chicken,breast,0.722817,727637,220222,35513,22459,Holonym
tip,pipe,0.698206,24669,20969,12594,9993,Holonym
duck,belly,0.705472,14375,3291,3157,1364,Holonym
carcass,bone,0.761141,1057,693,15563,12492,Holonym
cocktail,shaker,0.78117,17921,13596,9114,7322,Holonym
lemonade,pitcher,0.706624,6577,4765,9307,7663,Holonym
leg,hen,0.672222,4075,2711,2078,1148,Holonym
stout,beer,0.798837,978,627,18838,11872,Hypernym
cake,cheesecake,0.711348,368036,153244,27700,14915,Hypernym
brittle,candy,0.706672,4734,3568,31229,21346,Hypernym
brandy,liquor,0.690753,10593,8116,2616,2071,Hypernym
nut,walnut,0.681891,18770,16744,13118,11477,Hypernym
puff,pastry,0.67937,13034,8677,87282,45355,Hypernym
casserole,dish,0.674236,199677,135766,364307,277222,Hypernym
buttermilk,milk,0.650337,49589,36977,415955,328170,Hypernym
rubber,spatula,0.853499,14822,13264,54045,45159,Hypernym
pasta,spaghetti,0.836977,168870,66383,43880,24377,Hypernym
thumb,finger,0.754601,3614,3355,9477,8567,Hypernym
pineapple,fruit,0.695004,90780,53525,93511,57766,Hypernym
bakery,shop,0.690633,472,458,466,446,Hypernym
coleslaw,salad,0.689301,5349,3971,212192,143187,Hypernym
clam,seafood,0.686319,8299,5478,11365,7631,Hypernym
watermelon,melon,0.816728,7206,3021,6646,3968,Hypernym
fish,catfish,0.809345,108854,42674,2907,1446,Hypernym
steady,stream,0.922066,5720,5569,10204,9914,other
choke,fuzzy,0.855551,703,609,368,360,other
cast,iron,0.81531,9789,8802,20319,16007,other
knife,sharp,0.813365,89154,78509,24352,23114,other
miracle,mayonnaise,0.809571,3885,3419,61066,50672,other
damp,cloth,0.805746,10540,9437,11798,9749,other
assembly,assemble,0.800297,2967,2793,16128,15275,other
boiler,double,0.799459,23691,20794,47495,41949,other
film,cling,0.781513,4211,3524,3650,3000,other
molten,lava,0.771395,536,507,500,431,other
macaroni,elbow,0.754657,34120,16430,1052,966,other
season,pepper,0.750417,230929,185418,699658,518501,other
variation,note,0.74615,5255,4661,49624,45029,other
upper,position,0.736437,4952,4557,14428,13470,other
mess,messy,0.736413,2090,2004,1350,1307,other
accompany,offer,0.734785,983,978,690,677,other
register,internal,0.727164,843,778,8189,7574,other
various,variety,0.723796,1014,994,2358,2270,other
recipe,classic,0.716908,144783,125272,5086,4945,other
lazy,shortcut,0.709065,1740,1688,560,549,other
decorate,decoration,0.707646,14266,13584,1881,1767,other
courtesy,magazine,0.705829,538,524,590,578,other
ultimate,bliss,0.70232,1979,1944,334,325,other
cuisine,popular,0.70021,423,395,569,556,other
mint,fresh,0.696675,39603,27718,90049,77581,other
value,info,0.695088,461,449,528,518,other
sip,tonic,0.695025,499,450,498,345,other
bath,shock,0.691681,13984,11000,850,804,other
culinary,chef,0.690413,487,465,2442,2310,other
opinion,experience,0.689923,320,315,668,646,other
provide,contain,0.688524,850,830,1099,1067,other
commercial,example,0.685533,587,557,958,932,other
torch,blow,0.683098,1417,1056,576,545,other
active,activate,0.682937,804,732,407,399,other
cocoa,gum,0.681168,53217,42832,1899,1639,other
link,post,0.680309,1200,1087,916,873,holonym
yield,dozen,0.680197,21047,19724,18542,18219,other
sloppy,hamburger,0.67883,2816,2406,26971,19454,other
subtle,hint,0.676133,468,461,1942,1844,other
snap,snow,0.675462,4955,3852,6051,4319,other
foolproof,fail,0.674379,606,592,1504,1494,other
monitor,attention,0.672882,395,391,676,659,other
advance,month,0.672841,7969,7384,6022,5861,other
exchange,potassium,0.668317,738,523,750,706,other
strip,weave,0.666495,11442,8945,559,464,other
snake,foot,0.666234,446,314,621,493,other
sunrise,tropical,0.664653,312,303,2689,2529,other
appetite,personal,0.664111,302,301,1872,1827,other
consider,include,0.663533,659,645,2968,2907,other
cowboy,wagon,0.662891,1158,1126,364,345,other
expensive,quality,0.662837,397,385,1705,1568,other
rise,bulk,0.66126,52396,34020,7133,5928,other
outline,glue,0.660321,503,400,1450,1045,other
kitchen,newspaper,0.659251,21930,19836,615,531,other
combo,version,0.658253,681,661,5057,4445,other
gift,cute,0.656969,1484,1240,857,794,other
dress,rocket,0.655697,3021,2817,950,732,other
tequila,bloody,0.654569,3999,2989,1154,903,other
parcel,triangle,0.653441,650,485,5355,3960,other
feed,motor,0.652948,3454,2923,3214,2994,other
birthday,velvet,0.652404,890,811,2548,2365,other
royal,decorator,0.649643,1185,854,502,446,other
airtight,store,0.892481,35135,33788,67117,64308,other
southwest,fiesta,0.847042,1763,1678,1667,1598,other
rib,prime,0.829636,4466,3168,894,599,other
mellow,improve,0.732404,905,888,567,555,other
green,celery,0.658131,164011,130760,103983,89646,other
vertical,incision,0.669121,920,796,531,460,other
manual,select,0.761201,904,842,3849,3314,other
suit,balance,0.654471,1898,1862,2826,2661,other
flavor,intense,0.752931,31661,28297,640,627,other
pint,sterile,0.738651,5814,5229,1020,982,other
suggestion,menu,0.726336,1223,1187,432,421,other
mortar,bash,0.663976,6565,5916,332,310,other
local,farmers,0.707178,1235,1189,865,805,other
summertime,simple,0.705116,495,486,14768,13399,other
net,fiber,0.705004,411,359,7149,6648,other
snip,corner,0.691847,2839,2726,8485,6620,other
scratch,pioneer,0.688502,898,873,358,343,other
trick,attempt,0.687944,1165,1134,320,313,other
rope,stretch,0.686343,3339,2218,4871,4162,other
useful,tool,0.67596,326,310,682,647,other
tendency,tend,0.684835,347,347,1627,1599,other
rainbow,colorful,0.67956,1418,1261,1204,1181,other
skip,bother,0.667274,2934,2863,578,572,other
diabetic,deluxe,0.662282,1664,1633,1358,1339,other
sunshine,heavenly,0.661136,916,890,1735,1719,other
mustard,weed,0.656056,86752,72210,2645,2542,other
tree,wreath,0.811795,1767,973,1059,627,other
health,trader,0.65327,950,913,338,316,other
downward,motion,0.671797,441,428,3077,2903,other
fabulous,picnic,0.660503,1062,1048,1284,1172,other
tall,martini,0.723568,5296,5153,4739,3171,other
available,purchase,0.685357,5417,5077,679,660,other
score,diamond,0.698485,6365,5966,2143,1892,other
join,crease,0.694024,617,598,451,363,other
harvest,autumn,0.85626,1685,1649,1381,1355,other
mixer,electric,0.844264,125492,96810,63824,58431,other
attachment,speed,0.661392,15049,12629,102595,68499,other
mystery,delight,0.69419,305,300,6065,5950,other
pencil,circle,0.666667,567,500,24402,18157,other
divine,heaven,0.698162,576,567,719,703,other
marvelous,famous,0.663569,318,318,1932,1902,other
fasten,secure,0.877367,1176,1166,11674,11240,Synonym
disperse,distribute,0.818266,340,331,10756,10205,Synonym
achieve,obtain,0.817462,3151,3086,1252,1185,Synonym
brisk,lively,0.803646,409,391,457,433,Synonym
bright,vibrant,0.801937,5834,5662,351,344,Synonym
gap,space,0.791884,481,451,8310,7966,Synonym
smash,crush,0.779609,4036,3784,19653,18645,Synonym
slip,slide,0.777469,3421,3300,11490,10242,Synonym
pulp,flesh,0.769134,14365,9719,14760,11218,Synonym
treat,snack,0.766327,2462,2344,5092,4697,Synonym
uniform,consistent,0.760188,3867,3702,766,734,Synonym
mix,blend,0.74927,1089485,760785,186120,160479,Synonym
technique,method,0.744176,932,866,7981,6683,Synonym
adjust,correct,0.741349,38478,36137,2658,2586,Synonym
scatter,sprinkle,0.740417,14028,12809,459441,392085,Synonym
choose,decide,0.734646,4621,4429,1068,1028,Synonym
angle,bias,0.72809,2894,2727,1304,1284,Synonym
handy,nearby,0.714912,1462,1434,569,553,Synonym
steep,brew,0.712748,6613,6299,1461,1219,Synonym
function,mode,0.710377,653,543,765,671,Synonym
expand,swell,0.709305,1484,1444,604,594,Synonym
massage,rub,0.706032,2182,2046,46480,38812,Synonym
push,press,0.703464,11931,11141,117501,104216,Synonym
curve,bend,0.697533,874,844,890,859,Synonym
maker,machine,0.690889,9007,6939,16837,11272,Synonym
snug,neat,0.685062,344,336,1499,1456,Synonym
solid,firm,0.679864,6091,5634,77061,69708,Synonym
stab,prick,0.674662,347,346,9632,9310,Synonym
generous,decent,0.674343,11095,10635,358,352,Synonym
wiggle,jiggle,0.671656,356,351,950,925,Synonym
surface,counter,0.652784,100538,81333,9466,8455,Synonym
boost,enhance,0.650785,318,306,626,617,Synonym
margin,border,0.89943,547,501,7773,6420,Synonym
suggest,recommend,0.87735,1982,1918,4792,4556,Synonym
design,pattern,0.862035,2071,1885,7012,6555,Synonym
pile,heap,0.861464,6651,6254,893,876,Synonym
smell,aroma,0.858801,4381,4104,2740,2632,Synonym
crisp,crispy,0.846486,64852,60176,31259,27419,Synonym
depression,dent,0.831783,1005,876,462,385,Synonym
area,spot,0.809724,4543,4024,2769,2449,Synonym
fancy,creative,0.737356,2373,2313,879,863,Synonym
tricky,difficult,0.692828,489,485,1880,1825,Synonym
coil,twist,0.68399,629,491,8784,8094,Synonym
draw,trace,0.673165,2740,2521,1271,1151,Synonym
lovely,delicate,0.672741,2335,2231,1573,1526,Synonym
ideal,excellent,0.678996,1259,1228,3069,3017,Synonym
helpful,convenient,0.660351,843,815,468,460,Synonym
delightful,gorgeous,0.66543,463,461,384,374,Synonym
decadent,luscious,0.747654,757,747,859,850,Synonym
delicious,terrific,0.795212,20260,19492,500,499,Synonym
quickie,speedy,0.776092,339,333,638,633,Synonym
