word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,relation
peach,raspberry,0.745289,20202,13720,16284,11320,Co-Hyponym
texture,appearance,0.739775,16686,15515,1337,1307,Co-Hyponym
shrink,collapse,0.738933,1376,1346,631,615,Co-Hyponym
jar,bottle,0.738164,37238,26487,9179,7378,Co-Hyponym
dry,wet,0.737216,244075,205476,34358,29910,Co-Hyponym
veal,liver,0.735779,13098,4857,5539,2492,Co-Hyponym
stalk,bulb,0.730345,2623,2182,2602,1850,Co-Hyponym
pancake,waffle,0.73008,14892,9601,7896,3524,Co-Hyponym
boil,simmer,0.729221,465659,360310,365022,282261,Co-Hyponym
thick,thin,0.728305,144560,131550,77768,70429,Co-Hyponym
sand,dirt,0.727076,3084,2833,3023,2602,Co-Hyponym
bran,germ,0.726308,7327,4775,2945,2606,Co-Hyponym
cavity,neck,0.726041,8407,5958,4415,2991,Co-Hyponym
blueberry,rhubarb,0.725147,16490,13284,15525,5866,Co-Hyponym
yellow,purple,0.720932,18831,16733,1908,1576,Co-Hyponym
cherry,grape,0.718938,34893,25873,6964,4948,Co-Hyponym
spill,leak,0.717572,825,804,714,702,Co-Hyponym
vodka,champagne,0.714973,8281,5930,4945,3142,Co-Hyponym
glass,ceramic,0.714641,78152,65891,3763,3588,Co-Hyponym
caramel,fudge,0.710511,39598,21145,22149,16985,Co-Hyponym
rinse,refresh,0.709628,59056,54841,1670,1565,Co-Hyponym
cider,port,0.708718,14321,9805,3555,2350,Co-Hyponym
shank,marrow,0.70676,999,633,708,337,Co-Hyponym
soup,stew,0.706199,248412,152282,29350,20231,Co-Hyponym
patient,rush,0.705839,708,691,619,603,Co-Hyponym
guide,ruler,0.705684,1533,1464,401,346,Co-Hyponym
relish,pickle,0.704749,11927,8762,6483,5409,Co-Hyponym
forward,upward,0.704161,533,510,413,402,Co-Hyponym
grinder,chopper,0.703755,6318,5504,1512,1408,Co-Hyponym
grapefruit,passion,0.702755,7159,3518,1415,791,Co-Hyponym
squash,eggplant,0.699222,69602,24273,40453,12551,Co-Hyponym
onion,garlic,0.693451,441021,349305,437099,337898,Co-Hyponym
cheap,ordinary,0.692062,626,608,348,341,Co-Hyponym
quart,liter,0.691507,25070,23729,761,716,Co-Hyponym
foam,scum,0.690458,9849,8877,2062,1825,Co-Hyponym
lift,pry,0.689079,17599,16236,492,485,Co-Hyponym
bacon,ham,0.688393,158695,72676,65895,33373,Co-Hyponym
coconut,almond,0.686814,104431,60541,37796,27027,Co-Hyponym
humidity,warmth,0.68641,495,482,312,302,Co-Hyponym
supper,luncheon,0.685198,2276,2250,660,595,Co-Hyponym
bird,pig,0.684875,5478,2881,1214,651,Co-Hyponym
juice,vinegar,0.683817,329049,261200,136939,119032,Co-Hyponym
wedge,spear,0.683631,6896,6086,1447,1313,Co-Hyponym
gourmet,farmhouse,0.683534,1722,1653,332,325,Co-Hyponym
lettuce,cucumber,0.681584,48542,37699,29855,19767,Co-Hyponym
cone,lollipop,0.67984,2436,1380,738,529,Co-Hyponym
common,unique,0.677643,466,450,448,444,Co-Hyponym
fantastic,endless,0.677584,1030,1022,398,396,Co-Hyponym
coast,river,0.676549,359,347,353,324,Co-Hyponym
exotic,fiery,0.67613,426,403,395,374,Co-Hyponym
everyday,incredible,0.674359,536,525,434,428,Co-Hyponym
patience,effort,0.672988,568,554,461,459,Co-Hyponym
wall,ridge,0.67272,684,546,355,329,Co-Hyponym
banana,strawberry,0.672065,47660,32142,33688,25070,Co-Hyponym
mocha,sundae,0.670455,3166,2743,1357,1166,Co-Hyponym
quail,goose,0.668621,2677,756,1474,420,Co-Hyponym
pudding,custard,0.667283,82824,48178,30962,16661,Co-Hyponym
mug,jug,0.666562,4045,2800,2586,2149,Co-Hyponym
cinnamon,soda,0.666339,139973,112577,110174,105869,Co-Hyponym
pure,organic,0.666265,1657,1496,1269,1066,Co-Hyponym
salty,bland,0.665977,4600,4298,440,423,Co-Hyponym
avocado,iceberg,0.664552,32835,19989,719,638,Co-Hyponym
fruity,festive,0.664501,1762,1675,1506,1492,Co-Hyponym
tuck,flap,0.663766,5716,5504,771,593,Co-Hyponym
shoulder,spare,0.663453,2527,1609,814,638,Co-Hyponym
round,square,0.662708,52156,44104,43291,38623,Co-Hyponym
shrimp,crab,0.65923,120378,38939,26918,13510,Co-Hyponym
circular,spiral,0.65886,2869,2714,1891,1663,Co-Hyponym
mackerel,herring,0.657825,1068,519,801,321,Co-Hyponym
moist,dense,0.65727,20544,19621,1250,1215,Co-Hyponym
chip,chunk,0.656639,17651,16885,2773,2620,Co-Hyponym
cranberry,prune,0.656576,25711,18458,1680,1295,Co-Hyponym
giant,skinny,0.656221,967,903,942,922,Co-Hyponym
potato,turnip,0.656125,117758,77467,2412,1692,Co-Hyponym
spicy,saucy,0.655252,26780,24464,2161,2122,Co-Hyponym
rum,espresso,0.655198,19158,12892,6417,4159,Co-Hyponym
backbone,muscle,0.65499,1001,745,476,422,Co-Hyponym
rich,nutty,0.654781,7659,7315,3633,3523,Co-Hyponym
chop,grind,0.653716,98943,84843,17226,15694,Co-Hyponym
barbecue,ketchup,0.652416,23774,17390,18856,16113,Co-Hyponym
slit,pocket,0.652368,5983,5306,4690,3335,Co-Hyponym
funnel,spout,0.651853,2238,1260,741,674,Co-Hyponym
diameter,height,0.649744,12817,12173,1243,1150,Co-Hyponym
