word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,relation
bus,subway,0.767987,42105,7382,11163,2566,Co-Hyponym
flame,spark,0.76783,13673,3371,12279,3376,Co-Hyponym
pasta,beef,0.766078,19313,3250,11352,2486,Co-Hyponym
poem,novel,0.765827,12048,2417,11259,2469,Co-Hyponym
pizza,spaghetti,0.765504,28734,5240,16822,3008,Co-Hyponym
fear,anger,0.765474,8846,8146,1160,1091,Co-Hyponym
rainy,cloudy,0.765456,2083,1842,1485,1288,Co-Hyponym
laugh,giggle,0.765455,101430,87300,8461,8265,Co-Hyponym
clever,creative,0.765407,33264,21556,27635,18229,Co-Hyponym
fancy,modern,0.765203,32608,13651,18211,11174,Co-Hyponym
vanish,appear,0.765171,6033,4017,4810,4279,Co-Hyponym
laser,pistol,0.764866,14374,2472,12302,2588,Co-Hyponym
rope,chain,0.763938,46682,14568,14476,2979,Co-Hyponym
hill,mountain,0.763897,124053,40587,21465,6466,Co-Hyponym
strawberry,mint,0.76385,14068,4064,13810,2783,Co-Hyponym
kindness,bravery,0.763768,13901,12328,2025,1923,Co-Hyponym
goose,hippo,0.762652,19798,2823,13361,2643,Co-Hyponym
snowman,snowball,0.762432,36710,8243,3976,1890,Co-Hyponym
elephant,giraffe,0.760209,43111,13809,10869,4710,Co-Hyponym
tunnel,maze,0.760105,16277,4153,13204,2559,Co-Hyponym
suit,bathrobe,0.759496,16698,5328,11354,2483,Co-Hyponym
beetle,snail,0.758539,16921,3150,6111,2346,Co-Hyponym
bowl,pot,0.75639,66232,35121,52840,19359,Co-Hyponym
glove,boot,0.754539,16413,2921,13996,2247,Co-Hyponym
upstairs,downstairs,0.75363,7625,3702,3926,3150,Co-Hyponym
squash,mushroom,0.752792,18165,2642,16191,2541,Co-Hyponym
arm,finger,0.75198,30590,17769,21459,11778,Co-Hyponym
honest,obedient,0.750966,30379,17187,19027,11557,Co-Hyponym
quarrel,disagree,0.749822,12832,6685,4977,3853,Co-Hyponym
scare,tease,0.749503,22658,17819,10633,6916,Co-Hyponym
naughty,careless,0.748554,48579,29098,19120,12988,Co-Hyponym
lotion,perfume,0.747098,12445,2616,11394,2626,Co-Hyponym
crystal,ornament,0.746707,17275,3001,11774,2354,Co-Hyponym
original,ordinary,0.746112,19695,11537,17070,11524,Co-Hyponym
fence,hedge,0.745301,45556,19572,11574,2617,Co-Hyponym
switch,knob,0.74429,13466,3984,9887,3297,Co-Hyponym
helicopter,missile,0.743445,17323,2681,13588,2530,Co-Hyponym
milk,cocoa,0.741077,43756,19029,16884,4237,Co-Hyponym
tire,motor,0.740745,15125,3327,12172,2720,Co-Hyponym
wagon,jeep,0.740519,22509,3885,19163,2638,Co-Hyponym
nut,twig,0.740502,24680,5634,13141,2925,Co-Hyponym
brave,smart,0.740403,174864,124295,65646,52395,Co-Hyponym
reef,port,0.738999,10152,2609,8396,2568,Co-Hyponym
sunglasses,vest,0.73694,13390,3016,13299,2783,Co-Hyponym
cloth,sponge,0.735196,38504,19966,2293,1219,Co-Hyponym
string,ribbon,0.73401,39006,13698,9620,4359,Co-Hyponym
wolf,leopard,0.733563,33070,5789,15298,2575,Co-Hyponym
net,hook,0.732603,30945,9997,14838,4125,Co-Hyponym
popcorn,jelly,0.731843,19675,3738,17816,3113,Co-Hyponym
sleepy,lazy,0.730969,34296,20298,28662,12228,Co-Hyponym
gum,lollipop,0.73074,17838,2882,15007,3409,Co-Hyponym
shirt,sock,0.730316,30790,12881,23674,4334,Co-Hyponym
crown,necklace,0.729966,23653,7425,20246,6927,Co-Hyponym
knife,razor,0.728953,20519,7076,12096,2631,Co-Hyponym
dinosaur,tiger,0.728877,22421,5673,21189,3960,Co-Hyponym
cube,triangle,0.728023,20092,3001,17267,4162,Co-Hyponym
grumpy,bossy,0.725337,38590,13482,31503,11893,Co-Hyponym
folder,calendar,0.724654,14417,2668,11156,2584,Co-Hyponym
driver,cop,0.72454,39246,14504,13063,2852,Co-Hyponym
fat,thin,0.724213,25116,11801,23704,16191,Co-Hyponym
hungry,thirsty,0.724066,114579,86641,20344,16425,Co-Hyponym
lovely,brilliant,0.724043,29991,20853,20316,12176,Co-Hyponym
uniform,outfit,0.723855,9183,3452,1445,1104,Co-Hyponym
pond,fountain,0.723119,147151,61012,18955,5089,Co-Hyponym
hop,skip,0.722946,36606,21642,16465,7475,Co-Hyponym
dictionary,newspaper,0.722342,11502,2534,11034,2695,Co-Hyponym
pipe,rod,0.722095,16614,3131,15102,3302,Co-Hyponym
box,chest,0.720633,592564,206264,22579,10365,Co-Hyponym
